2801,Time,Celsius(°C),Humidity(%rh),Dew Point(°C),Serial Number
1,2019-02-22 13:00:00,21.5,59.0,13.2,010034738
2,2019-02-22 14:00:00,21.5,57.5,12.8
3,2019-02-22 15:00:00,21.0,57.5,12.3
4,2019-02-22 16:00:00,21.0,64.5,14.1
5,2019-02-22 17:00:00,20.5,59.5,12.3
6,2019-02-22 18:00:00,19.0,63.5,11.9
7,2019-02-22 19:00:00,18.0,58.5,9.7
8,2019-02-22 20:00:00,18.0,61.5,10.5
9,2019-02-22 21:00:00,17.5,62.5,10.3
10,2019-02-22 22:00:00,17.0,56.0,8.2
11,2019-02-22 23:00:00,16.5,55.5,7.6
12,2019-02-23 00:00:00,16.0,57.0,7.5
13,2019-02-23 01:00:00,15.5,56.0,6.8
14,2019-02-23 02:00:00,15.5,57.0,7.0
15,2019-02-23 03:00:00,15.0,57.0,6.6
16,2019-02-23 04:00:00,14.5,59.0,6.6
17,2019-02-23 05:00:00,14.5,60.0,6.8
18,2019-02-23 06:00:00,14.0,64.0,7.3
19,2019-02-23 07:00:00,13.5,65.0,7.1
20,2019-02-23 08:00:00,13.5,60.5,6.0
21,2019-02-23 09:00:00,13.0,69.5,7.6
22,2019-02-23 10:00:00,14.5,72.5,9.6
23,2019-02-23 11:00:00,18.0,65.0,11.3
24,2019-02-23 12:00:00,19.0,56.0,10.0
25,2019-02-23 13:00:00,19.0,51.5,8.8
26,2019-02-23 14:00:00,20.0,49.0,9.0
27,2019-02-23 15:00:00,20.5,48.0,9.1
28,2019-02-23 16:00:00,20.0,54.0,10.4
29,2019-02-23 17:00:00,20.0,59.5,11.9
30,2019-02-23 18:00:00,19.5,61.0,11.8
31,2019-02-23 19:00:00,17.0,51.5,6.9
32,2019-02-23 20:00:00,16.0,54.5,6.8
33,2019-02-23 21:00:00,16.0,55.0,7.0
34,2019-02-23 22:00:00,15.5,50.5,5.3
35,2019-02-23 23:00:00,15.0,51.0,5.0
36,2019-02-24 00:00:00,15.0,52.5,5.4
37,2019-02-24 01:00:00,14.5,57.5,6.2
38,2019-02-24 02:00:00,14.0,53.5,4.7
39,2019-02-24 03:00:00,13.5,56.0,4.9
40,2019-02-24 04:00:00,13.0,58.5,5.1
41,2019-02-24 05:00:00,12.5,58.0,4.5
42,2019-02-24 06:00:00,12.5,62.0,5.4
43,2019-02-24 07:00:00,12.0,63.0,5.2
44,2019-02-24 08:00:00,11.5,60.0,4.0
45,2019-02-24 09:00:00,11.0,71.5,6.1
46,2019-02-24 10:00:00,13.5,68.0,7.7
47,2019-02-24 11:00:00,17.5,58.0,9.2
48,2019-02-24 12:00:00,18.5,58.0,10.1
49,2019-02-24 13:00:00,18.0,38.0,3.5
50,2019-02-24 14:00:00,19.5,41.0,5.9
51,2019-02-24 15:00:00,20.0,40.5,6.2
52,2019-02-24 16:00:00,19.5,41.0,5.9
53,2019-02-24 17:00:00,20.0,48.0,8.7
54,2019-02-24 18:00:00,19.0,49.0,8.1
55,2019-02-24 19:00:00,16.5,54.5,7.3
56,2019-02-24 20:00:00,16.0,58.0,7.7
57,2019-02-24 21:00:00,15.5,54.5,6.4
58,2019-02-24 22:00:00,15.0,55.0,6.0
59,2019-02-24 23:00:00,14.5,57.5,6.2
60,2019-02-25 00:00:00,14.5,55.0,5.6
61,2019-02-25 01:00:00,14.0,58.0,5.9
